T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),x,Formula,series,T Max,family,,,Conduct. (S/cm),,Power Factor*T (W/mK),preparative route,final form,Authors,DOI,Comments,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,Author of Unit Cell,Unit Cell DOI,ICSD of structure,temp of ICSD (K),S^2,ke/ktotal,space group,# symmetry elements,,
400,,0.015255507,-123.59,4.0047E-02,1,0.015256,-123.59,1.0012E-04,,,0.04,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,,CaMnO3,,,6.5550E+01,,4.0047E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,300,1.5273E+04,,62,8,,
700,,0.02167829,-173.53,9.7238E-02,1,0.015256,-123.59,1.3891E-04,,,0.04,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,,CaMnO3,,,4.6129E+01,,9.7238E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,300,3.0114E+04,,62,8,,
1000,,0.022216199,-160.09,1.1535E-01,1,0.015256,-123.59,1.1535E-04,,,0.04,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,,CaMnO3,,,4.5012E+01,,1.1535E-01,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,300,2.5627E+04,,62,8,,
300,,0.012167108,-103.74,2.6533E-02,1,0.012167,-103.74,8.8443E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,8.2189E+01,,2.6533E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.0761E+04,,62,8,,
400,,0.012167108,-103.74,3.5377E-02,1,0.012167,-103.74,8.8443E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,8.2189E+01,,3.5377E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.0761E+04,,62,8,,
700,,0.017025942,-127.43,6.6760E-02,1,0.012167,-103.74,9.5371E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,5.8734E+01,,6.6760E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.6238E+04,,62,8,,
1000,,0.018839701,-135.75,9.7818E-02,1,0.012167,-103.74,9.7818E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,5.3079E+01,,9.7818E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.8429E+04,,62,8,,
300,,0.009966115,-83.24,2.0860E-02,1,0.009966,-83.24,6.9532E-05,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,1.0034E+02,,2.0860E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,6.9296E+03,,62,8,,
400,,0.009966115,-83.24,2.7813E-02,1,0.009966,-83.24,6.9532E-05,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,1.0034E+02,,2.7813E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,6.9296E+03,,62,8,,
700,,0.013632206,-118.46,7.2061E-02,1,0.009966,-83.24,1.0294E-04,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,7.3356E+01,,7.2061E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,1.4033E+04,,62,8,,
1000,,0.015706625,-140.88,1.2635E-01,1,0.009966,-83.24,1.2635E-04,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,6.3667E+01,,1.2635E-01,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,1.9846E+04,,62,8,,
700,,152.9285824,483.47,1.0699E-04,4,,,1.5285E-07,,,0,NiO,LixNi1-xO,,NiO,,,6.5390E-03,,1.0699E-04,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,2.3375E+05,,225,192,,
1000,,14.64759355,642.62,2.8193E-03,4,,,2.8193E-06,,,0,NiO,LixNi1-xO,,NiO,,,6.8271E-02,,2.8193E-03,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,4.1296E+05,,225,192,,
400,,28.86769359,294.97,1.2056E-04,4,28.867694,294.97,3.0140E-07,7.4551E-06,16.1715,0.0024,Li0.0024Ni0.9976O,LixNi1-xO,,NiO,,,3.4641E-02,,1.2056E-04,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,8.7007E+04,2.09068E-06,225,192,,
700,,0.262887397,249.75,1.6609E-02,4,28.867694,294.97,2.3727E-05,0.001458067,11.391,0.0024,Li0.0024Ni0.9976O,LixNi1-xO,,NiO,,,3.8039E+00,,1.6609E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.2375E+04,0.000570369,225,192,,
1000,,0.046604403,262.41,1.4775E-01,4,28.867694,294.97,1.4775E-04,0.017497599,8.44401,0.0024,Li0.0024Ni0.9976O,LixNi1-xO,,NiO,,,2.1457E+01,,1.4775E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.8858E+04,0.00620032,225,192,,
400,,5.08646999,249.37,4.8903E-04,4,5.086470,249.37,1.2226E-06,5.87234E-05,8.32761,0.0066,Li0.0066Ni0.9944O,LixNi1-xO,,NiO,,,1.9660E-01,,4.8903E-04,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.2185E+04,2.30416E-05,225,192,,
700,,0.031620853,200.39,8.8896E-02,4,5.086470,249.37,1.2699E-04,0.014790072,6.0105,0.0066,Li0.0066Ni0.9944O,LixNi1-xO,,NiO,,,3.1625E+01,,8.8896E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,4.0157E+04,0.008986771,225,192,,
